Area 	Left 	Right 	Top 	Bottom 	
125.5	489	502	294	309
117.5	480	492	267	283
163	465	479	240	255
128.5	454	468	216	230
133	443	458	195	209
161.5	431	447	176	191
133.5	420	435	160	175
139.5	409	425	146	159
97.5	399	413	135	147
98	388	401	125	136
116.5	377	391	117	129
122	366	381	111	123
116	355	370	107	119
105	344	358	106	118
116	334	348	107	119
134.5	322	337	110	124
93.5	312	325	117	128
101.5	301	315	125	137
90.5	291	304	135	146
107.5	279	292	146	159
94.5	269	282	162	173
119	258	271	176	190
125	247	261	195	209
108	237	250	217	230
123.5	226	239	240	253
123.5	215	228	264	279
125.5	205	218	293	307
